Growth,Popular
"7,789505063","45,5"
"3, 604932235","37,6"
"11,14742161",43
"2,463302256","41,8"
"-0,6788087244","49,2"
"9,591122957","34,1"
"2,915147425","28,8"
"-26,81465575","40,8"
"26,10230529","57,4"
"13,59839743","60,8"
"41,6010209","54,7"
"-13,32464279","53,4"
"11,60406754","49,5"
"5,795426903","44,4"
"3,793757544",42
"12,7540566","49,7"
"16,36051081","61,1"
"7,272804018","42,7"
"6,468875423","37,5"
"9,435287161","50,1"
"8,324609098",41
"11,80633495","40,6"
"3,840448373","45,6"
"8,51886263",43
"13,54453731","49,2"
"5,679778811","48,4"
"3,67690243","48,3"
"0,2352028562","52,9"
"5,201015994","51,1"
"5,1","48,2"
"5,1","51,31"